序号,日期,国家,一级行政区,次级行政区,世界遗产,景点
1,2003.08.05,中国,河北省,秦皇岛市,,北戴河
1,2003.08.06,中国,河北省,秦皇岛市,,天下第一关古城
2,,中国,辽宁省,TODO,,待核实
2,,中国,吉林省,TODO,,
2,,中国,黑龙江省,TODO,,
3,2007.04.24,中国,上海市,,,东方绿舟
3,2007.04.25,中国,上海市,,,金茂大厦
3,2007.04.26,中国,上海市,,,东二小学
4,2010.06.29,中国,上海市,,,上海世界博览会
5,2010.08.14,中国,河北省,保定市,,野三坡风景区
6,2010.08.21,中国,河北省,承德市,1,承德避暑山庄
7,2011.07.10,中国,山东省,青岛市,,胶州湾大桥、五四广场、海军博物馆、八大关等
8,2011.07.22,日本,茨城県,東茨城郡大洗町,,茨城县立儿童城、大洗矶前神社、大洗水族馆
8,2011.07.23,日本,茨城県,ひたちなか市,,国营常陆海滨公园
8,2011.07.25,日本,東京都,,,台场
8,2011.07.26,日本,東京都,,,东京都厅、皇居、秋叶原、浅草寺
9,,中国,天津市,,,天津广播电视台等、塘沽海河外滩公园
10,2012.02.01,中国,香港特别行政区,,,喇沙书院
10,2012.02.02,中国,香港特别行政区,,,园艺街、旺角等
10,2012.02.03,中国,香港特别行政区,,,香港大学、太平山
10,2012.02.04,中国,香港特别行政区,,,香港中文大学、香港迪士尼乐园
10,2012.02.05,中国,香港特别行政区,,,红磡、金紫荆广场、尖沙咀
11,2012.08.15,中国,四川省,阿坝藏族羌族自治州,1,九寨沟国家级自然保护区
11,2012.08.16,中国,四川省,阿坝藏族羌族自治州,1,黄龙风景名胜区
12,2013.07.16,日本,大阪府,大阪市,,道顿堀、大阪城、大阪环球影城
12,2013.07.17,日本,大阪府,吹田市,,万国博览会纪念公园
12,,日本,大阪府,大阪市,,大阪海游馆
12,,日本,兵庫県,姫路市,1,姬路城
12,,日本,兵庫県,神户市,,神户塔等
12,2013.07.18,日本,京都府,京都市,1,金阁寺、清水寺
12,2013.07.19,日本,岡山県,岡山市,,后乐园
12,2013.07.20,日本,奈良県,奈良市,1,春日大社（大佛殿向南再向东经KKR后向东北）
12,2013.07.21,日本,京都府,京都市,,伏见稻荷大社、岚山
13,2014.01.21,中国,陕西省,西安市,1,华清池、兵马俑
