序号,地区分类,开始日期,结束日期,标题,里程英里,里程公里,里程来源,飞行次数,地图URL
1,非自驾,2003.08.05,2003.08.06,2003.08.05-2003.08.06 北戴河,,,,,
2,非自驾,2004夏,,2004夏 东北,,,,,
3,非自驾,2007.04.23,2007.04.27,2007.04.23-2007.04.27 上海毕业旅行,,,,,
4,非自驾,2010.06.28,2010.07.03,2010.06.28-2010.07.03 上海世博会,,,,1,
5,非自驾,2010.08.14,2010.08.15,2010.08.14-2010.08.15 河北野三坡,,,,,
6,非自驾,2010.08.21,2010.08.22,2010.08.21-2010.08.22 承德避暑山庄,,,,,
7,非自驾,2011.07.09,2011.07.15,2011.07.09-2011.07.15 山东青岛,,,,,
8,非自驾,2011.07.22,2011.07.27,2011.07.22-2011.07.27 日本茨城-东京,,,,1,
9,非自驾,2011.10.01,,2011.10.01 天津,,,,,
10,非自驾,2012.02.01,2012.02.07,2012.02.01-2012.02.07 香港,,,,1,
11,非自驾,2012.08.14,2012.08.16,2012.08.14-2012.08.16 四川九寨沟-黄龙,,,,2,
12,非自驾,2013.07.15,2013.07.22,2013.07.15-2013.07.22 日本关西,,,,2,
13,非自驾,2014.01.20,2014.01.25,2014.01.20-2014.01.25 陕西西安,,,,,
14,非自驾,2014.05.23,2014.05.26,2014.05.23-2014.05.26 江西,,,,,
15,非自驾,2014.06.19,2014.06.26,2014.06.19-2014.06.26 意大利-瑞士-法国,,,,1,
16,非自驾,2014.07.18,2014.07.28,2014.07.18-2014.07.28 法国,,,,2,
17,非自驾,2014.09.22,,2014.09.22 尼亚加拉瀑布,,,,,
18,非自驾,2014.12.19,2014.12.21,2014.12.19-2014.12.21 康奈尔大学,,,,,
19,非自驾,2015.02.21,,2015.02.21 尼亚加拉瀑布,,,,,
20,非自驾,2015.04.29,2015.05.08,2015.04.29-2015.05.08 美国西部八州,,,,1,
21,非自驾,2015.08.22,2015.08.28,2015.08.22-2015.08.28 加拿大东部五省,,,,,
22,非自驾,2016.05.07,,2016.05.07 渥太华,,,,,
23,非自驾,2016.06.04,,2016.06.04 河北白洋淀,,,,,
24,非自驾,2016.06.17,2016.06.19,2016.06.17-2016.06.19 山东曲阜-临沂-枣庄,,,,,
25,非自驾,2016.07.14,2016.07.22,2016.07.14-2016.07.22 安徽-江西-江苏南京,,,,,
26,世界,2016.12.23,2016.12.28,2016.12.23-12.28 墨西哥坎昆,,1029,回忆线路生成 KML 坐标计算,1,1l2qzCwRM9D8sVArtVxWeZSVECF0GFh0
27,非自驾,2017.06.04,2017.06.10,2017.06.04-2017.06.10 金士顿-温哥华-班夫,,,,1,
28,非自驾,2017.07.02,2017.07.07,2017.07.02-2017.07.07 湖南,,,,,
29,非自驾,2017.07.24,2017.08.02,2017.07.24-2017.08.02 日本本州-九州,,,,2,
30,非自驾,2017.10.08,2017.10.09,2017.10.08-2017.10.09 纽约尼亚加拉瀑布,,,,,
31,非自驾,2017.12.19,2017.12.26,2017.12.19-2017.12.26 马萨诸塞-罗德岛-纽约,,,,,
32,非自驾,2018.03.31,2018.04.04,2018.03.31-2018.04.04 波多黎各,,,,1,
33,美国其他,2018.05.23,2018.05.24,2018.05.23-05.24 纽约伊萨卡-西弗吉尼亚,,1381,Timeline 生成 KML 坐标计算,,1FW8QonWwXQGgBGaLVquM-IACXawfNFU
34,非自驾,2018.05.28,2018.06.01,2018.05.28-2018.06.01 纽约-宾夕法尼亚-华盛顿特区,,,,,
35,加州小型游,2018.10.13,2018.10.14,2018.10.13-10.14 优胜美地,,956,Timeline 生成 KML 坐标计算,,1rzM6y5GZXJ-P9F6JvbLcKi-ILiO7zT0
36,落地丹佛,2018.11.10,2018.11.12,2018.11.10-11.12 科罗拉多-新墨西哥,,2163,Timeline 生成 KML 坐标计算,1,1t4_iaRt6LTH8MaRvyfWxbLg4SjZpa-U
37,非自驾,2019.02.09,2019.02.10,2019.02.09-2019.02.10 拉斯维加斯,,,,2,
38,西海岸,2019.05.25,2019.05.27,2019.05.25-05.27 内华达大盆地,,2067,Timeline 生成 KML 坐标计算,,1GnWwtg4AwIvZRqMSApw76YFBBBREQpQ
39,非自驾,2019.07.25,2019.07.30,2019.07.25-2019.07.30 上海,,,,3,
